"Crop","GCM","Impact","Has","prod","yield","low_imp","mid_imp","hig_imp","dfr_low","dfr_mid","dfr_hig"
"Cashew","CNRM-CM6-1","cope",112488.526353102,97794.184,0.590613896950807,0.531552507255726,0.502021812408186,0.472491117560646,97793.6524474927,97793.6819781876,97793.7115088824
"Cashew","CNRM-ESM2-1","cope",114698.772480953,97794.184,0.589810332286787,0.530829299058108,0.501338782443769,0.47184826582943,97793.6531707009,97793.6826612176,97793.7121517342
"Cashew","EC-Earth3-Veg-LR","cope",84228.6828200631,97794.184,0.581057776794312,0.522951999114881,0.493899110275165,0.46484622143545,97793.6610480009,97793.6901008897,97793.7191537786
"Cashew","EC-Earth3-Veg","cope",84228.6828200631,97794.184,0.581057776794312,0.522951999114881,0.493899110275165,0.46484622143545,97793.6610480009,97793.6901008897,97793.7191537786
"Cashew","GFDL-ESM4","cope",104865.587534089,97794.184,0.576868683316628,0.519181814984966,0.490338380819134,0.461494946653303,97793.664818185,97793.6936616192,97793.7225050533
"Cashew","GISS-E2-1-G","cope",114618.46851166,97794.184,0.591127838840939,0.532015054956845,0.502458663014798,0.472902271072752,97793.651984945,97793.681541337,97793.7110977289
"Cashew","GISS-E2-1-H","cope",110390.59594119,97794.184,0.596497755590021,0.536847980031019,0.507023092251518,0.477198204472017,97793.64715202,97793.6769769077,97793.7068017955
"Cashew","INM-CM4-8","cope",103635.624794144,97794.184,0.590492495102993,0.531443245592694,0.501918620837544,0.472393996082394,97793.6525567544,97793.6820813792,97793.7116060039
"Cashew","INM-CM5-0","cope",100394.218284104,97794.184,0.595403878151744,0.53586349033657,0.506093296428982,0.476323102521395,97793.6481365097,97793.6779067036,97793.7076768975
"Cashew","IPSL-CM6A-LR","cope",110707.755565815,97794.184,0.590136529507973,0.531122876557175,0.501616050081777,0.472109223606378,97793.6528771234,97793.6823839499,97793.7118907764
"Cashew","MIROC-ES2L","cope",108261.14526822,97794.184,0.59291694138359,0.533625247245231,0.503979400176052,0.474333553106872,97793.6503747527,97793.6800205998,97793.7096664469
"Cashew","MIROC6","cope",121055.260632191,97794.184,0.584360019556421,0.525924017600779,0.496706016622958,0.467488015645137,97793.6580759824,97793.6872939834,97793.7165119844
"Cashew","MPI-ESM1-2-HR","cope",121780.488799851,97794.184,0.575193997674333,0.5176745979069,0.488914898023183,0.460155198139466,97793.6663254021,97793.695085102,97793.7238448019
"Cashew","MPI-ESM1-2-LR","cope",104385.908533607,97794.184,0.579366831421619,0.521430148279457,0.492461806708376,0.463493465137295,97793.6625698517,97793.6915381933,97793.7205065349
"Cashew","MRI-ESM2-0","cope",110054.726189155,97794.184,0.595899675386706,0.536309707848035,0.5065147240787,0.476719740309365,97793.6476902921,97793.6774852759,97793.7072802597
"Cashew","UKESM1-0-LL","cope",108743.407418899,97794.184,0.596742625266695,0.537068362740025,0.50723123147669,0.477394100213356,97793.6469316373,97793.6767687685,97793.7066058998
"Coconut","ACCESS-CM2","cope",70650.904192741,490312.672,6.14676696275763,5.53209026648187,5.22475191834399,4.91741357020611,490307.139909734,490307.447248082,490307.75458643
"Coconut","ACCESS-ESM1-5","cope",53741.4180457024,490312.672,7.74631219689998,6.97168097720998,6.58436536736498,6.19704975751998,490305.700319023,490306.087634633,490306.474950242
"Coconut","AWI-CM-1-1-MR","cope",72089.609721248,490312.672,5.71866116075543,5.14679504467989,4.86086198664211,4.57492892860434,490307.525204955,490307.811138013,490308.097071071
