"Crop","GCM","Impact","Has"
"Oil palm","ACCESS-CM2","cope",313353.17034629
"Oil palm","ACCESS-CM2","adjust",74289.9488400919
"Oil palm","ACCESS-ESM1-5","cope",334184.151127366
"Oil palm","ACCESS-ESM1-5","adjust",44111.5520890085
"Oil palm","AWI-CM-1-1-MR","cope",354571.147941601
"Oil palm","AWI-CM-1-1-MR","adjust",21758.6765475972
"Oil palm","BCC-CSM2-MR","cope",349533.699664789
"Oil palm","BCC-CSM2-MR","adjust",22265.3637729408
"Oil palm","CanESM5-CanOE","cope",315910.206344105
"Oil palm","CanESM5-CanOE","adjust",67397.095834868
"Oil palm","CanESM5","cope",315910.206344105
"Oil palm","CanESM5","adjust",67397.095834868
"Oil palm","CMCC-ESM2","cope",350616.416723656
"Oil palm","CMCC-ESM2","adjust",33098.5743852938
"Oil palm","CNRM-CM6-1-HR","cope",334775.97350111
"Oil palm","CNRM-CM6-1-HR","adjust",47754.9942746162
"Oil palm","CNRM-CM6-1","cope",334775.97350111
"Oil palm","CNRM-CM6-1","adjust",47754.9942746162
"Oil palm","CNRM-ESM2-1","cope",343613.548113029
"Oil palm","CNRM-ESM2-1","adjust",37619.7897552513
"Oil palm","EC-Earth3-Veg-LR","cope",359523.92600851
"Oil palm","EC-Earth3-Veg-LR","adjust",14449.59432586
"Oil palm","EC-Earth3-Veg","cope",359523.92600851
"Oil palm","EC-Earth3-Veg","adjust",14449.59432586
"Oil palm","GFDL-ESM4","cope",308566.979617134
"Oil palm","GFDL-ESM4","adjust",76389.2505888762
"Oil palm","GISS-E2-1-G","cope",319445.9304996
"Oil palm","GISS-E2-1-G","adjust",62258.244649996
"Oil palm","GISS-E2-1-H","cope",314867.290450899
"Oil palm","GISS-E2-1-H","adjust",69281.1738100732
"Oil palm","INM-CM4-8","cope",357999.861778226
"Oil palm","INM-CM4-8","adjust",16595.0435670698
"Oil palm","INM-CM5-0","cope",357677.417248359
"Oil palm","INM-CM5-0","adjust",22960.5022829548
"Oil palm","IPSL-CM6A-LR","cope",322235.755544644
"Oil palm","IPSL-CM6A-LR","adjust",61702.0053962432
"Oil palm","MIROC-ES2L","cope",326045.907596178
"Oil palm","MIROC-ES2L","adjust",59099.7161358111
"Oil palm","MIROC6","cope",347674.67955156
"Oil palm","MIROC6","adjust",33555.8950846866
"Oil palm","MPI-ESM1-2-HR","cope",356985.26861769
"Oil palm","MPI-ESM1-2-HR","adjust",16847.8346792189
"Oil palm","MPI-ESM1-2-LR","cope",351466.861230244
"Oil palm","MPI-ESM1-2-LR","adjust",19242.8734247526
"Oil palm","MRI-ESM2-0","cope",325806.899684114
"Oil palm","MRI-ESM2-0","adjust",57735.0990019981
"Oil palm","UKESM1-0-LL","cope",298069.166493344
"Oil palm","UKESM1-0-LL","adjust",87271.0304501569
"Rubber","ACCESS-CM2","cope",35750.0409284234
"Rubber","ACCESS-CM2","adjust",30923.6339025553
"Rubber","ACCESS-ESM1-5","cope",42098.2717306223
"Rubber","ACCESS-ESM1-5","adjust",26004.0800212268
"Rubber","AWI-CM-1-1-MR","cope",46088.0983375311
"Rubber","AWI-CM-1-1-MR","adjust",20270.717030568
"Rubber","BCC-CSM2-MR","cope",44405.1805294249
"Rubber","BCC-CSM2-MR","adjust",23815.0902846418
"Rubber","CanESM5-CanOE","cope",35939.0270732325
"Rubber","CanESM5-CanOE","adjust",29806.3736288436
"Rubber","CanESM5","cope",35939.0270732325
"Rubber","CanESM5","adjust",29806.3736288436
"Rubber","CMCC-ESM2","cope",43635.3141417652
"Rubber","CMCC-ESM2","adjust",24192.3366257679
"Rubber","CNRM-CM6-1-HR","cope",42711.6863982063
"Rubber","CNRM-CM6-1-HR","adjust",23991.7278447822
"Rubber","CNRM-CM6-1","cope",42711.6863982063
"Rubber","CNRM-CM6-1","adjust",23991.7278447822
"Rubber","CNRM-ESM2-1","cope",44426.5301815812
"Rubber","CNRM-ESM2-1","adjust",22974.7541555949
"Rubber","EC-Earth3-Veg-LR","cope",34801.2739789709
"Rubber","EC-Earth3-Veg-LR","adjust",31072.9709289502
"Rubber","EC-Earth3-Veg","cope",34801.2739789709
"Rubber","EC-Earth3-Veg","adjust",31072.9709289502
"Rubber","GFDL-ESM4","cope",47071.789643323
"Rubber","GFDL-ESM4","adjust",22907.8636867739
"Rubber","GISS-E2-1-G","cope",43545.771119548
"Rubber","GISS-E2-1-G","adjust",24891.7192273475
"Rubber","GISS-E2-1-H","cope",48457.1204744186
"Rubber","GISS-E2-1-H","adjust",19967.6470495239
"Rubber","INM-CM4-8","cope",37390.02804894
"Rubber","INM-CM4-8","adjust",30439.932489479
"Rubber","INM-CM5-0","cope",35162.5709466338
"Rubber","INM-CM5-0","adjust",31326.673597021
"Rubber","IPSL-CM6A-LR","cope",46946.172718104
"Rubber","IPSL-CM6A-LR","adjust",20749.8394617829
"Rubber","MIROC-ES2L","cope",37292.4117191993
"Rubber","MIROC-ES2L","adjust",29914.3550080601
"Rubber","MIROC6","cope",43957.4483406637
"Rubber","MIROC6","adjust",24142.4977966808
"Rubber","MPI-ESM1-2-HR","cope",45902.0447231848
"Rubber","MPI-ESM1-2-HR","adjust",20235.2818404566
"Rubber","MPI-ESM1-2-LR","cope",42697.3704289123
"Rubber","MPI-ESM1-2-LR","adjust",22471.8529839348
"Rubber","MPI-ESM1-2-LR","transform",10.7938198298216
"Rubber","MRI-ESM2-0","cope",44564.5943700112
"Rubber","MRI-ESM2-0","adjust",24665.9591861684
"Rubber","UKESM1-0-LL","cope",35467.3551691603
"Rubber","UKESM1-0-LL","adjust",29939.6290131267
"Mango","ACCESS-CM2","cope",1098.01496036071
"Mango","ACCESS-CM2","adjust",3332.70330832247
"Mango","ACCESS-CM2","transform",809.217787878588
"Mango","ACCESS-ESM1-5","cope",1748.25440358743
"Mango","ACCESS-ESM1-5","adjust",2651.31392511073
"Mango","ACCESS-ESM1-5","transform",1114.75156513788
"Mango","AWI-CM-1-1-MR","cope",3352.8992119031
"Mango","AWI-CM-1-1-MR","adjust",1882.92075002287
"Mango","AWI-CM-1-1-MR","transform",153.616751698777
"Mango","BCC-CSM2-MR","cope",2214.79066645354
"Mango","BCC-CSM2-MR","adjust",2608.95480625797
"Mango","BCC-CSM2-MR","transform",656.870196281001
"Mango","CanESM5-CanOE","cope",2235.02347636689
"Mango","CanESM5-CanOE","adjust",3014.66226737667
"Mango","CanESM5-CanOE","transform",703.475221255794
"Mango","CanESM5","cope",2235.02347636689
"Mango","CanESM5","adjust",3014.66226737667
"Mango","CanESM5","transform",703.475221255794
"Mango","CMCC-ESM2","cope",3509.50461339392
"Mango","CMCC-ESM2","adjust",1346.01755948458
"Mango","CMCC-ESM2","transform",645.911340979859
"Mango","CNRM-CM6-1-HR","cope",2290.48042818997
"Mango","CNRM-CM6-1-HR","adjust",2798.98959037382
"Mango","CNRM-CM6-1-HR","transform",791.659155687317
"Mango","CNRM-CM6-1","cope",2290.48042818997
"Mango","CNRM-CM6-1","adjust",2798.98959037382
"Mango","CNRM-CM6-1","transform",791.659155687317
"Mango","CNRM-ESM2-1","cope",3937.01686061267
"Mango","CNRM-ESM2-1","adjust",1442.02999750245
